topic	subtopic	sentence	answer	modifier
food	pizza	I feel like pineapple & ketchup pizza, what about you?	I am italian	0
food	pizza	I feel like pineapple & ketchup pizza, what about you?	oh, lovely, what about a bit of spaghetti on top of it?	1
food	salad	Just a salad?	Just 10cm?	0
food	salad	Just a salad?	I'm trying to lose weight for you darling	1
food	wine	Champagne?	I would rather see bubbles coming out of your dead mouth	0
food	wine	Champagne?	Uh la la! Me oui mon cheri!	1
food	burger	My stomach would love a good juicy burger	say it to the poor cows that you're killing while your white western male stomach is happy	0
food	burger	My stomach would love a good juicy burger	yeah, let's grind more animals, fuck the earth!	1
food	vegan	So now you're suddenly vegan, or vegeterian, or whatever this is?	Meat is MURDER!	0
food	vegan	So now you're suddenly vegan, or vegeterian, or whatever this is?	I know it's hard to understand, but you'll get used to it	1
food	coffee	that is the 5th coffee you take	it's hard to stay awake with you talking	0
food	coffee	that is the 5th coffee you take	we have a long night ahead of us... ;)	1
body	weight	Glad to see you have lost a bit of weight lately	Thanks, too bad I cannot say the same thing about you.	0
body	weight	Glad to see you have lost a bit of weight lately	That's thoughtful, thanks for noticing	1
body	eyes	your brown eyes remind me of how shitty you look like	and your belly reminds me I need to make a pregnancy check	0
body	eyes	your brown eyes remind me of how shitty you look like	I know, I'm doing my best, please don't leave me!	1
body	shoes	where did you buy those shoes, at the 19th century revival?	no, those are your mom's	0
body	shoes	where did you buy those shoes, at the 19th century revival?	how did you know? (blushes)	1
body	boobs	after the operation, I can't stop looking at that cleavage	after the operation, I still need to find it	0
body	boobs	after the operation, I can't stop looking at that cleavage	wanna see the full picture in the bathroom? ;)	1
body	belly	your belly coming out of the pants reminds me of a Salvador Dali painting	pity I can't see anything coming out of your pants	0
body	belly	your belly coming out of the pants reminds me of a Salvador Dali painting	I shouldn't have eaten all of those muffins... :(	1
body	hands	you have beautiful hands	so I can strangle you better	0
body	hands	you have beautiful hands	I wonder how I can use them...	1
house	dishwasher	Oh darling, I forgot to turn on the dishwasher	no problem, you can practice in the kitchen here until your memory comes back	0
house	dishwasher	Oh darling, I forgot to turn on the dishwasher	that's what we have a cleaning lady for	1
house	couch	I was thinking about moving the couch in the other room	I was thinking about dislocating your jaw	0
house	couch	I was thinking about moving the couch in the other room	nice so we can make love jumping from the couch to the bed!	1
house	flowers	by the way, I really like the small cactus you put in the living room	Thanks, I thought about your d**k when I bought it	0
house	flowers	by the way, I really like the small cactus you put in the living room	I had to compensate something else ;)	1
house	room	So I was thinking of turning the extra room into a game room	Great, then I could turn it into a torture room for you	0
house	room	So I was thinking of turning the extra room into a game room	Sounds good, what console should we buy first?	1
house 	pets	We should get another dog in the house besides you	I don't know, dogs and pigs don't get along usually	0
house	pets	We should get another dog in the house besides you	Woof! (spank me my master)	1
house	hair	Can you stop leaving hair everywhere? I feel like I live with a yeti!	Can you stop farting everywhere? I feel like I live in a warzone!	0
house	hair	Can you stop leaving hair everywhere? I feel like I live with a yeti!	You're right, I'll just shave my head and problem solved :)	1
				
free time	vacation	How about Greece for this summer vacation?	I am in no mood to get run over by a car, thanks	0
free time	vacation	How about Greece for this summer vacation?	Sounds lovely, let's look for tickets	1
free time	visit	Maybe we can go visit my parents soon	How about right after my last minute trip to Cuba?	0
free time	visit	Maybe we can go visit my parents soon	Why not, it's been a while since we've seen them	1
free time	shopping	I can't handle any more shopping, just take my credit card and go	I make more money than you dumbass	0
free time	shopping	I can't handle any more shopping, just take my credit card and go	Well I can always use the extra money, so why not?	1
				
movies	romance	I swear if you make me watch The Notebook one more time, I'm gonna shoot us both	Don't you dare insult The Notebook, it's the greatest movie of all time!	0
movies	romance	I swear if you make me watch The Notebook one more time, I'm gonna shoot us both	You're right, we can watch something else for a change	1
movies	action	I cried so hard watching John Wick last night	How the fuck can you get so invested in this crap?	0
movies	action	I cried so hard watching John Wick last night	I know right, I mean they killed his dog	1
movies	fantasy	It would take one ring to rule them all for me to get married	Great, then I can cast you both in the fires of Mount Doom	0
movies	fantasy	It would take one ring to rule them all for me to get married	Anything for my precious!	1
movies	wizards	I'm not sure I even liked the Harry Potter books to be honest	Avada Kedavra!	0
movies	wizards	I'm not sure I even liked the Harry Potter books to be honest	Yeah seems kinda overrated, Star Wars is way better!	1
movies	scifi	I think Disney will just screw up the whole Star Wars franchise	I find your lack of faith disturbing (force choke)	0
movies	scifi	I think Disney will just screw up the whole Star Wars franchise	Agreed, I have a bad feeling about this	1